trace1;I a;I b;I n;I x;I y
trace1;11;11;10;31;31
trace1;10;10;78;166;166
trace1;4;11;62;128;135
trace1;11;2;22;55;46
trace1;0;9;55;110;119
trace1;1;5;51;103;107
trace1;0;0;65;130;130
trace1;11;2;19;49;40
trace1;4;6;72;148;150
trace1;2;3;49;100;101
trace1;11;1;65;141;131
trace1;0;4;26;52;56
trace1;10;4;59;128;122
trace1;6;9;90;186;189
trace1;1;10;25;51;60
trace1;8;11;43;94;97
trace1;11;5;37;85;79
trace1;7;0;68;143;136
trace1;2;10;47;96;104
trace1;4;6;70;144;146
trace1;8;6;41;90;88
trace1;0;11;38;76;87
trace1;2;0;96;194;192
trace1;0;4;45;90;94
trace1;6;2;55;116;112
trace1;10;8;60;130;128
trace1;1;3;47;95;97
trace1;3;6;1;5;8
trace1;9;0;25;59;50
trace1;6;9;84;174;177
trace1;1;5;38;77;81
trace1;11;9;8;27;25
trace1;2;3;93;188;189
trace1;0;10;82;164;174
trace1;11;0;12;35;24
trace1;2;10;58;118;126
trace1;2;3;34;70;71
trace1;11;1;85;181;171
trace1;5;8;63;131;134
trace1;6;0;26;58;52
trace1;9;9;96;201;201
trace1;6;5;29;64;63
trace1;1;9;81;163;171
trace1;2;4;13;28;30
trace1;1;6;74;149;154
trace1;9;10;33;75;76
trace1;10;8;2;14;12
trace1;10;11;52;114;115
trace1;6;3;21;48;45
trace1;1;10;43;87;96
trace1;1;4;31;63;66
trace1;1;0;47;95;94
trace1;10;3;34;78;71
trace1;9;2;61;131;124
trace1;8;8;72;152;152
trace1;3;5;98;199;201
trace1;10;4;88;186;180
trace1;2;3;62;126;127
trace1;7;8;93;193;194
trace1;9;7;5;19;17
trace1;5;2;17;39;36
trace1;5;0;66;137;132
trace1;5;0;11;27;22
trace1;6;10;41;88;92
trace1;2;3;48;98;99
trace1;2;3;81;164;165
trace1;9;9;96;201;201
trace1;1;7;26;53;59
trace1;11;0;1;13;2
trace1;7;7;32;71;71
trace1;11;10;52;115;114
trace1;5;3;91;187;185
trace1;8;9;87;182;183
trace1;9;2;23;55;48
trace1;11;10;56;123;122
trace1;4;7;30;64;67
trace1;11;3;60;131;123
trace1;8;3;29;66;61
trace1;5;11;88;181;187
trace1;10;10;95;200;200
trace1;4;3;11;26;25
trace1;7;4;17;41;38
trace1;1;8;30;61;68
trace1;9;3;6;21;15
trace1;5;0;9;23;18
trace1;11;0;78;167;156
trace1;10;5;44;98;93
trace1;11;9;63;137;135
trace1;4;6;36;76;78
trace1;5;6;28;61;62
trace1;11;6;9;29;24
trace1;9;8;11;31;30
trace1;2;5;100;202;205
trace1;3;8;87;177;182
trace1;6;5;67;140;139
trace1;6;5;57;120;119
trace1;7;5;90;187;185
trace1;2;7;36;74;79
trace1;8;5;34;76;73
trace1;6;5;11;28;27
