trace1;I x;I a
trace1;85;5
trace1;39;7
trace1;53;5
trace1;50;2
trace1;20;4
trace1;28;4
trace1;41;1
trace1;98;2
trace1;100;4
trace1;45;5
trace1;6;6
trace1;12;4
trace1;53;5
trace1;22;6
trace1;90;2
trace1;88;0
trace1;89;1
trace1;94;6
trace1;1;1
trace1;33;1
trace1;51;3
trace1;3;3
trace1;73;1
trace1;41;1
trace1;32;0
trace1;97;1
trace1;88;0
trace1;13;5
trace1;9;1
trace1;12;4
trace1;6;6
trace1;63;7
trace1;34;2
trace1;11;3
trace1;51;3
trace1;77;5
trace1;7;7
trace1;98;2
trace1;66;2
trace1;87;7
trace1;97;1
trace1;31;7
trace1;4;4
trace1;50;2
trace1;89;1
trace1;91;3
trace1;30;6
trace1;80;0
trace1;28;4
trace1;96;0
