trace1;I n;I c
trace1;248;18
trace1;140;129
trace1;200;30
trace1;240;39
trace1;226;60
trace1;174;155
trace1;157;120
trace1;178;104
trace1;60;29
trace1;77;31
trace1;142;51
trace1;149;128
trace1;221;115
trace1;109;51
trace1;33;17
trace1;206;183
trace1;99;40
trace1;212;157
trace1;179;42
trace1;237;39
trace1;174;81
trace1;209;69
trace1;60;36
trace1;173;16
trace1;48;5
trace1;195;147
trace1;157;136
trace1;76;20
trace1;108;64
trace1;188;156
trace1;0;0
trace1;251;215
trace1;12;1
trace1;166;163
trace1;39;2
trace1;202;185
trace1;7;1
trace1;64;53
trace1;121;92
trace1;228;159
trace1;241;15
trace1;243;34
trace1;54;35
trace1;72;34
trace1;183;126
trace1;240;176
trace1;10;4
trace1;123;59
trace1;47;30
trace1;2;2
trace1;242;165
trace1;208;61
trace1;18;9
trace1;46;43
trace1;4;4
trace1;143;140
trace1;102;60
trace1;226;39
trace1;236;86
trace1;248;123
trace1;20;3
trace1;231;38
trace1;202;77
trace1;242;103
trace1;131;121
trace1;242;178
trace1;191;40
trace1;82;10
trace1;203;16
trace1;170;71
trace1;120;78
trace1;150;44
trace1;123;94
trace1;149;19
trace1;1;1
trace1;210;200
trace1;137;61
trace1;132;21
trace1;77;13
trace1;19;2
trace1;126;20
trace1;115;47
trace1;34;15
trace1;235;183
trace1;9;1
trace1;209;128
trace1;3;1
trace1;186;96
trace1;107;44
trace1;202;90
trace1;181;160
trace1;164;141
trace1;34;3
trace1;28;15
trace1;214;128
trace1;92;45
trace1;217;217
trace1;32;5
trace1;164;112
trace1;77;64
