trace1;I x;I y
trace1;13.0;0.4201670368266409
trace1;9.0;0.4121184852417566
trace1;71.0;0.9510546532543747
trace1;1.0;0.8414709848078965
trace1;75.0;-0.38778163540943045
trace1;5.0;-0.9589242746631385
trace1;17.0;-0.9613974918795568
trace1;87.0;-0.8218178366308225
trace1;64.0;0.9200260381967907
trace1;81.0;-0.629887994274454
trace1;100.0;-0.5063656411097588
trace1;3.0;0.1411200080598672
trace1;4.0;-0.7568024953079282
trace1;42.0;-0.9165215479156338
trace1;86.0;-0.9234584470040598
trace1;70.0;0.7738906815578891
trace1;33.0;0.9999118601072672
trace1;10.0;-0.5440211108893699
trace1;68.0;-0.8979276806892913
trace1;29.0;-0.6636338842129675
trace1;95.0;0.683261714736121
trace1;60.0;-0.3048106211022167
trace1;64.0;0.9200260381967907
trace1;12.0;-0.5365729180004349
trace1;45.0;0.8509035245341184
trace1;79.0;-0.4441126687075084
trace1;85.0;-0.1760756199485871
trace1;80.0;-0.9938886539233752
trace1;33.0;0.9999118601072672
trace1;13.0;0.4201670368266409
trace1;1.0;0.8414709848078965
trace1;26.0;0.7625584504796028
trace1;9.0;0.4121184852417566
trace1;66.0;-0.026551154023966794
trace1;83.0;0.9683644611001854
trace1;87.0;-0.8218178366308225
trace1;45.0;0.8509035245341184
trace1;69.0;-0.11478481378318722
trace1;83.0;0.9683644611001854
trace1;93.0;-0.9482821412699473
trace1;74.0;-0.9851462604682474
trace1;5.0;-0.9589242746631385
trace1;76.0;0.5661076368981803
trace1;83.0;0.9683644611001854
trace1;34.0;0.5290826861200238
trace1;29.0;-0.6636338842129675
trace1;23.0;-0.8462204041751706
trace1;45.0;0.8509035245341184
trace1;50.0;-0.26237485370392877
trace1;25.0;-0.13235175009777303
trace1;20.0;0.9129452507276277
trace1;89.0;0.8600694058124533
trace1;54.0;-0.5587890488516162
trace1;82.0;0.31322878243308516
trace1;86.0;-0.9234584470040598
trace1;70.0;0.7738906815578891
trace1;23.0;-0.8462204041751706
trace1;26.0;0.7625584504796028
trace1;16.0;-0.2879033166650653
trace1;79.0;-0.4441126687075084
trace1;30.0;-0.9880316240928618
trace1;69.0;-0.11478481378318722
trace1;26.0;0.7625584504796028
trace1;87.0;-0.8218178366308225
trace1;70.0;0.7738906815578891
trace1;42.0;-0.9165215479156338
trace1;84.0;0.7331903200732921
trace1;81.0;-0.629887994274454
trace1;44.0;0.017701925105413577
trace1;95.0;0.683261714736121
trace1;24.0;-0.9055783620066239
trace1;13.0;0.4201670368266409
trace1;62.0;-0.7391806966492229
trace1;53.0;0.3959251501818342
trace1;50.0;-0.26237485370392877
trace1;5.0;-0.9589242746631385
trace1;41.0;-0.158622668804709
trace1;59.0;0.6367380071391379
trace1;67.0;-0.8555199789753223
trace1;61.0;-0.9661177700083929
trace1;27.0;0.956375928404503
trace1;16.0;-0.2879033166650653
trace1;62.0;-0.7391806966492229
trace1;74.0;-0.9851462604682474
trace1;60.0;-0.3048106211022167
trace1;3.0;0.1411200080598672
trace1;42.0;-0.9165215479156338
trace1;13.0;0.4201670368266409
trace1;76.0;0.5661076368981803
trace1;68.0;-0.8979276806892913
trace1;85.0;-0.1760756199485871
trace1;48.0;-0.7682546613236668
trace1;40.0;0.7451131604793488
trace1;78.0;0.5139784559875352
trace1;81.0;-0.629887994274454
trace1;94.0;-0.2452519854676543
trace1;22.0;-0.008851309290403876
trace1;5.0;-0.9589242746631385
trace1;85.0;-0.1760756199485871
trace1;47.0;0.123573122745224
