trace1;I x;I z;I y
trace1;47;-41;-71
trace1;52;80;-12
trace1;7;89;84
trace1;64;-65;-65
trace1;26;49;49
trace1;23;100;-42
trace1;56;-66;-73
trace1;16;-56;-56
trace1;50;-61;-61
trace1;65;-94;-94
trace1;73;49;49
trace1;59;68;33
trace1;92;-14;-14
trace1;99;72;54
trace1;42;53;-39
trace1;18;89;28
trace1;59;14;0
trace1;55;-81;-83
trace1;66;47;47
trace1;33;59;-73
trace1;49;28;-22
trace1;85;79;-2
trace1;9;-16;-16
trace1;11;-10;-36
trace1;38;-63;-63
trace1;25;-6;-6
trace1;13;-22;-22
trace1;71;36;-15
trace1;42;32;32
trace1;88;-39;-39
