trace1;I a;I y;I x
trace1;112;168;-7188
trace1;112;142;-11205
trace1;112;145;-10776
trace1;112;136;-12036
trace1;112;132;-12570
trace1;112;168;-7188
trace1;112;137;-11900
trace1;112;134;-12305
trace1;112;178;-5463
trace1;112;167;-7355
trace1;112;116;-14546
trace1;112;114;-14775
trace1;112;128;-13088
trace1;112;171;-6681
trace1;112;120;-14076
trace1;112;147;-10485
trace1;112;172;-6510
trace1;112;141;-11346
trace1;112;158;-8813
trace1;112;161;-8336
trace1;112;121;-13956
trace1;112;172;-6510
trace1;112;121;-13956
trace1;112;169;-7020
trace1;112;156;-9126
trace1;112;133;-12438
trace1;112;133;-12438
trace1;112;161;-8336
trace1;112;148;-10338
trace1;112;127;-13215
trace1;112;133;-12438
trace1;112;151;-9891
trace1;112;131;-12701
trace1;112;160;-8496
trace1;112;154;-9435
trace1;112;144;-10920
trace1;112;154;-9435
trace1;112;132;-12570
trace1;112;133;-12438
trace1;112;187;-3825
trace1;112;128;-13088
trace1;112;119;-14195
trace1;112;151;-9891
trace1;112;139;-11625
trace1;112;143;-11063
trace1;112;130;-12831
trace1;112;147;-10485
trace1;112;139;-11625
trace1;112;141;-11346
trace1;112;178;-5463
trace1;112;170;-6851
trace1;112;116;-14546
trace1;112;183;-4563
trace1;112;157;-8970
trace1;112;129;-12960
trace1;112;113;-14888
trace1;112;141;-11346
trace1;112;144;-10920
trace1;112;156;-9126
trace1;112;135;-12171
trace1;112;177;-5640
trace1;112;166;-7521
trace1;112;166;-7521
trace1;112;127;-13215
trace1;112;185;-4196
trace1;112;117;-14430
trace1;112;134;-12305
trace1;112;179;-5285
trace1;112;153;-9588
trace1;112;143;-11063
trace1;112;150;-10041
trace1;112;189;-3450
trace1;112;174;-6165
trace1;112;154;-9435
trace1;112;169;-7020
trace1;112;151;-9891
trace1;112;138;-11763
trace1;112;166;-7521
trace1;112;120;-14076
trace1;112;179;-5285
trace1;112;120;-14076
trace1;112;187;-3825
trace1;112;121;-13956
trace1;112;134;-12305
trace1;112;116;-14546
trace1;112;174;-6165
trace1;112;168;-7188
trace1;112;119;-14195
trace1;112;175;-5991
trace1;112;182;-4745
trace1;112;145;-10776
trace1;112;132;-12570
trace1;112;151;-9891
trace1;112;148;-10338
trace1;112;130;-12831
trace1;112;126;-13341
trace1;112;172;-6510
trace1;112;180;-5106
trace1;112;157;-8970
trace1;112;119;-14195
