trace1;I x;I y
trace1;15;86
trace1;80;21
trace1;100;1
trace1;30;71
trace1;55;46
trace1;63;38
trace1;89;12
trace1;15;86
trace1;40;61
trace1;20;81
trace1;37;64
trace1;30;71
trace1;82;19
trace1;99;2
trace1;86;15
trace1;52;49
trace1;28;73
trace1;50;51
trace1;36;65
trace1;39;62
trace1;22;79
trace1;22;79
trace1;61;40
trace1;26;75
trace1;42;59
trace1;99;2
trace1;79;22
trace1;97;4
trace1;27;74
trace1;66;35
trace1;91;10
trace1;12;89
trace1;9;92
trace1;99;2
trace1;3;98
trace1;1;100
trace1;94;7
trace1;5;96
trace1;44;57
trace1;60;41
trace1;4;97
trace1;48;53
trace1;11;90
trace1;84;17
trace1;23;78
trace1;58;43
trace1;72;29
trace1;98;3
trace1;42;59
trace1;66;35
trace1;73;28
trace1;62;39
trace1;45;56
trace1;99;2
trace1;54;47
trace1;62;39
trace1;40;61
trace1;44;57
trace1;2;99
trace1;64;37
trace1;9;92
trace1;76;25
trace1;57;44
trace1;68;33
trace1;26;75
trace1;37;64
trace1;41;60
trace1;100;1
trace1;40;61
trace1;81;20
trace1;36;65
trace1;14;87
trace1;13;88
trace1;29;72
trace1;63;38
trace1;31;70
trace1;54;47
trace1;59;42
trace1;14;87
trace1;19;82
trace1;45;56
trace1;47;54
trace1;18;83
trace1;1;100
trace1;36;65
trace1;58;43
trace1;16;85
trace1;15;86
trace1;47;54
trace1;9;92
trace1;59;42
trace1;30;71
trace1;72;29
trace1;65;36
trace1;6;95
trace1;58;43
trace1;99;2
trace1;45;56
trace1;64;37
trace1;21;80
trace1;51;50
trace1;33;68
trace1;12;89
trace1;41;60
trace1;66;35
trace1;67;34
trace1;61;40
trace1;43;58
trace1;17;84
trace1;31;70
trace1;71;30
trace1;59;42
trace1;37;64
trace1;64;37
trace1;76;25
trace1;58;43
trace1;84;17
trace1;51;50
trace1;26;75
trace1;95;6
trace1;88;13
trace1;72;29
trace1;39;62
trace1;25;76
trace1;93;8
trace1;57;44
trace1;23;78
trace1;77;24
trace1;67;34
trace1;90;11
trace1;87;14
trace1;86;15
trace1;98;3
trace1;72;29
trace1;73;28
trace1;12;89
trace1;35;66
trace1;32;69
trace1;61;40
trace1;18;83
trace1;42;59
trace1;1;100
trace1;70;31
trace1;89;12
trace1;59;42
trace1;48;53
trace1;56;45
trace1;85;16
trace1;59;42
trace1;95;6
trace1;42;59
trace1;84;17
trace1;42;59
trace1;83;18
trace1;38;63
trace1;80;21
trace1;88;13
trace1;77;24
trace1;24;77
trace1;29;72
trace1;69;32
trace1;74;27
trace1;75;26
trace1;60;41
trace1;39;62
trace1;59;42
trace1;27;74
trace1;28;73
trace1;55;46
trace1;79;22
trace1;2;99
trace1;94;7
trace1;28;73
trace1;66;35
trace1;48;53
trace1;45;56
trace1;70;31
trace1;58;43
trace1;50;51
trace1;69;32
trace1;40;61
trace1;80;21
trace1;47;54
trace1;33;68
trace1;16;85
trace1;41;60
trace1;65;36
trace1;20;81
trace1;24;77
trace1;41;60
trace1;58;43
trace1;50;51
trace1;71;30
trace1;8;93
trace1;15;86
trace1;98;3
trace1;88;13
trace1;57;44
trace1;8;93
trace1;20;81
trace1;67;34
trace1;87;14
trace1;32;69
trace1;6;95
trace1;31;70
trace1;20;81
trace1;98;3
trace1;20;81
trace1;94;7
trace1;14;87
trace1;69;32
trace1;59;42
trace1;29;72
trace1;71;30
trace1;73;28
trace1;75;26
trace1;20;81
trace1;79;22
trace1;59;42
trace1;11;90
trace1;44;57
trace1;26;75
trace1;91;10
trace1;11;90
trace1;91;10
trace1;74;27
trace1;66;35
trace1;95;6
trace1;76;25
trace1;100;1
trace1;33;68
trace1;83;18
trace1;9;92
trace1;92;9
trace1;9;92
trace1;96;5
trace1;71;30
trace1;57;44
trace1;10;91
trace1;91;10
trace1;24;77
trace1;8;93
trace1;34;67
trace1;18;83
trace1;83;18
trace1;72;29
trace1;86;15
trace1;68;33
trace1;73;28
trace1;48;53
trace1;70;31
trace1;38;63
trace1;38;63
trace1;43;58
trace1;18;83
trace1;16;85
trace1;94;7
trace1;76;25
trace1;27;74
trace1;5;96
trace1;19;82
trace1;17;84
trace1;10;91
trace1;87;14
trace1;72;29
trace1;58;43
trace1;57;44
trace1;47;54
trace1;8;93
trace1;56;45
trace1;29;72
trace1;19;82
trace1;68;33
trace1;77;24
trace1;91;10
trace1;83;18
trace1;31;70
trace1;21;80
trace1;99;2
trace1;72;29
trace1;90;11
trace1;68;33
trace1;56;45
trace1;33;68
trace1;14;87
trace1;72;29
trace1;29;72
trace1;73;28
trace1;6;95
trace1;50;51
trace1;3;98
trace1;65;36
trace1;1;100
trace1;34;67
trace1;38;63
trace1;82;19
trace1;35;66
trace1;23;78
trace1;9;92
trace1;38;63
trace1;51;50
trace1;88;13
trace1;55;46
trace1;10;91
trace1;17;84
trace1;91;10
trace1;33;68
trace1;97;4
trace1;14;87
trace1;89;12
trace1;18;83
trace1;33;68
trace1;10;91
trace1;77;24
trace1;13;88
trace1;5;96
trace1;80;21
trace1;42;59
trace1;80;21
trace1;79;22
trace1;87;14
trace1;98;3
trace1;45;56
trace1;31;70
trace1;28;73
trace1;58;43
trace1;96;5
trace1;20;81
trace1;61;40
trace1;82;19
trace1;50;51
trace1;18;83
trace1;92;9
trace1;76;25
trace1;44;57
trace1;62;39
trace1;14;87
trace1;93;8
trace1;80;21
trace1;84;17
trace1;78;23
trace1;53;48
trace1;78;23
trace1;48;53
trace1;65;36
trace1;19;82
trace1;2;99
trace1;54;47
trace1;63;38
trace1;38;63
trace1;64;37
trace1;1;100
trace1;31;70
trace1;3;98
trace1;60;41
trace1;31;70
trace1;52;49
trace1;44;57
trace1;69;32
trace1;10;91
trace1;80;21
trace1;4;97
trace1;12;89
trace1;87;14
trace1;96;5
trace1;40;61
trace1;11;90
trace1;20;81
trace1;28;73
trace1;93;8
trace1;52;49
trace1;75;26
trace1;34;67
trace1;29;72
trace1;2;99
trace1;51;50
trace1;68;33
trace1;17;84
trace1;60;41
trace1;39;62
trace1;95;6
trace1;97;4
trace1;31;70
trace1;17;84
trace1;79;22
trace1;66;35
trace1;26;75
trace1;20;81
trace1;87;14
trace1;25;76
trace1;90;11
trace1;86;15
trace1;2;99
trace1;56;45
trace1;57;44
trace1;23;78
trace1;29;72
trace1;77;24
trace1;94;7
trace1;28;73
trace1;49;52
trace1;21;80
trace1;34;67
trace1;69;32
trace1;56;45
trace1;99;2
trace1;32;69
trace1;93;8
trace1;60;41
trace1;96;5
trace1;49;52
trace1;11;90
trace1;89;12
trace1;37;64
trace1;51;50
trace1;96;5
trace1;9;92
trace1;13;88
trace1;34;67
trace1;67;34
trace1;11;90
trace1;35;66
trace1;39;62
trace1;87;14
trace1;37;64
trace1;38;63
trace1;30;71
trace1;5;96
trace1;61;40
trace1;41;60
trace1;42;59
trace1;8;93
trace1;81;20
trace1;4;97
trace1;85;16
trace1;62;39
trace1;71;30
trace1;20;81
trace1;50;51
trace1;19;82
trace1;5;96
trace1;42;59
trace1;57;44
trace1;64;37
trace1;23;78
trace1;42;59
trace1;77;24
trace1;84;17
trace1;66;35
trace1;5;96
trace1;17;84
trace1;75;26
trace1;27;74
trace1;52;49
trace1;70;31
trace1;7;94
trace1;73;28
trace1;1;100
trace1;5;96
trace1;11;90
trace1;74;27
trace1;91;10
trace1;68;33
trace1;79;22
trace1;62;39
trace1;41;60
trace1;39;62
trace1;92;9
trace1;64;37
trace1;72;29
trace1;75;26
trace1;31;70
trace1;26;75
trace1;19;82
trace1;37;64
trace1;82;19
trace1;47;54
trace1;73;28
trace1;48;53
trace1;18;83
trace1;50;51
trace1;50;51
trace1;65;36
trace1;57;44
trace1;90;11
trace1;60;41
trace1;85;16
trace1;86;15
trace1;70;31
trace1;20;81
trace1;29;72
trace1;10;91
trace1;94;7
trace1;30;71
trace1;96;5
trace1;30;71
trace1;78;23
trace1;31;70
trace1;99;2
trace1;33;68
