trace1;I size;I sn;I i
trace1;-24;0;1
trace1;121;47;48
trace1;-37;0;1
trace1;29;1;2
trace1;108;3;4
trace1;198;135;136
trace1;-33;0;1
trace1;132;58;59
trace1;43;41;42
trace1;-37;0;1
trace1;96;38;39
trace1;64;52;53
trace1;-87;0;1
trace1;162;30;31
trace1;-76;0;1
trace1;145;78;79
trace1;62;35;36
trace1;101;32;33
trace1;187;7;8
trace1;103;17;18
trace1;18;13;14
trace1;95;34;35
trace1;-95;0;1
trace1;-65;0;1
trace1;62;8;9
trace1;-61;0;1
trace1;-43;0;1
trace1;172;149;150
trace1;-89;0;1
trace1;-78;0;1
trace1;-56;0;1
trace1;-19;0;1
trace1;188;165;166
trace1;3;1;2
trace1;-70;0;1
trace1;-57;0;1
trace1;-53;0;1
trace1;198;14;15
trace1;-25;0;1
trace1;195;26;27
trace1;113;35;36
trace1;39;25;26
trace1;17;4;5
trace1;-60;0;1
trace1;122;6;7
trace1;141;58;59
trace1;31;20;21
trace1;49;17;18
trace1;-1;0;1
trace1;179;46;47
trace1;-34;0;1
trace1;54;24;25
trace1;132;123;124
trace1;81;57;58
trace1;-32;0;1
trace1;124;51;52
trace1;181;105;106
trace1;-2;0;1
trace1;35;35;36
trace1;176;98;99
trace1;85;29;30
trace1;-37;0;1
trace1;50;7;8
trace1;-74;0;1
trace1;91;3;4
trace1;47;28;29
trace1;-37;0;1
trace1;78;13;14
trace1;101;19;20
trace1;101;95;96
trace1;22;5;6
trace1;67;18;19
trace1;188;178;179
trace1;51;36;37
trace1;83;69;70
trace1;-47;0;1
trace1;10;9;10
trace1;96;47;48
trace1;-38;0;1
trace1;12;11;12
trace1;-50;0;1
trace1;107;19;20
trace1;58;29;30
trace1;103;54;55
trace1;165;96;97
trace1;12;1;2
trace1;36;30;31
trace1;172;40;41
trace1;-42;0;1
trace1;165;141;142
trace1;45;38;39
trace1;-94;0;1
trace1;-54;0;1
trace1;33;8;9
trace1;18;14;15
trace1;40;26;27
trace1;149;41;42
trace1;200;175;176
trace1;153;64;65
trace1;152;56;57
